,OLS,sxr(%),WLS,sxr(%),WLS_0408,sxr(%),WLS vs. WLS_0408,WLS_0506,sxr(%),WLS vs. WLS_0506,,,
zz1R,1.24477,0.95,1.242844,1.07,1.24,1.11,0.23%,1.241725,1.204747,0.09%,,,
fv1 ,8.101969,0.49,8.079125,0.66,8.05,0.68,0.36%,7.977487,0.675258,1.27%,,,Thanh bp
fs1 ,6.995873,1.64,7.052481,2.21,7.14,2.24,1.23%,6.826214,2.239012,3.31%,,,
off1,0.437358,14.16,0.429253,19.9,0.392,21.87,9.50%,0.325189,27.250282,32.00%,,,Prof. Gautier bp 
xx2R,-0.463462,2.11,-0.464968,2.56,-0.466,2.59,0.22%,-0.473906,3.944805,1.89%,,,
xy2 ,0.003279,141.45,0.002589,235.37,0.00358,171.76,27.68%,0.012852,51.119591,79.86%,,,
xz2R,-0.158497,3.23,-0.160218,4.09,-0.16,4.11,0.14%,-0.149299,7.122326,7.31%,,,
yz2 ,0.004891,78.09,0.004815,101.88,0.00331,149.36,45.47%,0.005844,96.652076,17.60%,,,
zz2R,1.082453,0.82,1.080093,1.01,1.08,1.01,0.01%,1.080744,1.043145,0.06%,,,
mx2R,2.215573,1.87,2.218533,2.43,2.22,2.43,0.07%,2.149472,2.470779,3.21%,,,
my2 ,0.13684,26.31,0.145947,31.58,0.136,32.95,7.31%,0.113357,29.092902,28.75%,,,
fv2 ,5.551457,0.81,5.540716,1.05,5.53,1.04,0.19%,5.944319,0.883479,6.79%,,,
fs2 ,8.201215,1.3,8.223875,1.71,8.26,1.69,0.44%,7.464814,1.254132,10.17%,,,
off2,1.318049,37.36,1.376553,44.47,1.37,44.59,0.48%,0.898329,58.893710,53.23%,,,
xx3R,0.128259,7.58,0.121851,9.01,0.127,8.96,4.05%,0.128847,9.927655,5.43%,,,
xy3 ,0.004344,122.86,-0.000212,2888.28,0.000639,990.99,133.18%,-0.009033,69.462778,97.65%,,,
xz3 ,-0.00186,327.06,-0.001559,425.17,-0.00372,187.00,58.09%,0.000494,1656.659886,415.46%,,,
yz3 ,0.00874,41.73,0.007188,54.68,0.00599,68.60,20.00%,0.004586,106.956148,56.75%,,,
zz3R,0.106997,7.12,0.106029,7.97,0.107,8.17,0.91%,0.103017,10.152761,2.92%,,,
mx3 ,0.072619,31.23,0.079208,30.5,0.0786,31.99,0.77%,0.083337,35.231637,4.95%,,,
my3R,-0.593492,1.97,-0.603345,2.02,-0.601,2.11,0.39%,-0.635071,2.344917,5.00%,,,
ia3 ,0.095973,6.7,0.09849,6.93,0.0988,7.21,0.31%,0.105481,8.096913,6.63%,,,
fv3 ,1.954283,1.64,1.960331,1.54,1.97,1.66,0.49%,1.983129,2.001348,1.15%,,,
fs3 ,6.388242,1.65,6.358378,1.57,6.34,1.71,0.29%,6.515116,1.850726,2.41%,,,
off3,0.322682,58.85,0.326732,60.93,0.326,63.22,0.22%,0.410518,60.988310,20.41%,,,
xx4R,0.005121,90.66,0.004124,111.99,0.00464,103.65,11.12%,0.007570,62.641014,45.52%,,,
xy4 ,-0.002795,75.38,-0.00676,29.16,-0.00687,30.00,1.60%,-0.003832,57.263076,76.41%,,,
xz4 ,-0.004717,53.78,-0.000547,412.36,-0.00178,132.09,69.27%,-0.001427,176.477701,61.66%,,,
