Thanh Bps,,,prof. Gautier Bps,,,Essential params,,WLS with 10 CAD params,,WLS with load’s mass,,TLS with 10 CAD params,,TLS with load’s mass,
Base parameters,id_val,std_rel(%),Base parameters,id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%)
Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.188241,0.97,zz1R = zz1  + ia1  + yy2  + yy3  + 0.07*mz3  + 0.05185*m3   + 0.05185*m4   + 0.05185*m5   + 0.05185*m6  ,1.24,1.1115,1.28,0.4896,1.17,2.28,1.14,2.66,1.28,2,1.28,2.04
fv1,8.736807,0.42,fv1 ,8.05,0.6769,7.99,0.6703,6.35,2.37,6.21,2.7,6.93,2.08,7.01,2.07
fs1,4.822528,2.01,fs1 ,7.14,2.2356,7.36,2.1196,5.18,3.8,4.98,4.1,5.61,3.18,5.46,3.2
off1,0.532371,11.04,off1,0.392,21.8748,,,,,,,,,0.301,27.13
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.445813,2.27,xx2R = xx2  - yy2  - 0.050625*m3   - 0.050625*m4   - 0.050625*m5   - 0.050625*m6  ,-0.466,2.5875,-0.494,1.9049,-0.454,3.53,-0.443,3.81,-0.495,2.91,-0.501,2.84
Ixy2,-0.017758,28.2,xy2 ,0.00358,171.7591,,,,,,,,,,
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.139272,3.96,xz2R = xz2  - 0.225*mz3  - 0.007875*m3   - 0.007875*m4   - 0.007875*m5   - 0.007875*m6  ,-0.16,4.1141,-0.16,3.6441,-0.143,5.85,-0.143,5.88,-0.154,4.86,-0.158,4.42
Iyz2,0.010813,38.31,yz2 ,0.00331,149.3633,,,,,,,,,,
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.967119,0.82,zz2R = zz2  + ia2  + 0.050625*m3   + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  ,1.08,1.0119,1.08,0.551,0.985,1.36,0.96,1.92,1.02,1.34,1.05,1.51
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.38055,1.81,mx2R = mx2  + 0.225*m3   + 0.225*m4   + 0.225*m5   + 0.225*m6  ,2.22,2.4256,2.17,0.5002,1.97,1.57,1.92,2.21,2.04,1.55,2.11,1.73
my2,-0.13898,24.74,my2 ,0.136,32.9494,,,,,,,,,,
fv2,6.126811,0.72,fv2 ,5.53,1.0416,5.49,1.0548,4.17,2.09,4.09,2.52,4.29,2.1,4.45,2.02
fs2,6.440346,1.53,fs2 ,8.26,1.6916,8.33,1.6905,7.28,2.6,7.09,2.91,7.56,2.48,7.72,2.28
off2 ,1.56391,32.08,off2,1.37,44.5933,,,,,,,,,,
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.1241,8.34,xx3R = xx3  - yy3  + yy4  + 0.45*mz4  + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  ,0.127,8.9567,0.0947,9.9899,0.0956,13.42,0.0914,13.84,0.107,9.79,0.105,9.8
Ixy3,0.002022,273.82,xy3 ,0.000639,990.9884,,,,,,,,,,
Ixz3,0.011217,56.79,xz3 ,-0.00372,186.9976,,,,,,,,,,
Iyz3,0.017072,22.63,yz3 ,0.00599,68.6018,,,,,,,,,,
