,Thanh,,prof. Gautier,
Base parameters,id_val,std_rel(%),id_val,std_rel(%)
Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.188241,0.97,1.24,1.1115
fv1,8.736807,0.42,8.05,0.6769
fs1,4.822528,2.01,7.14,2.2356
off1,0.532371,11.04,0.392,21.8748
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.445813,2.27,-0.466,2.5875
Ixy2,-0.017758,28.2,0.00358,171.7591
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.139272,3.96,-0.16,4.1141
Iyz2,0.010813,38.31,0.00331,149.3633
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.967119,0.82,1.08,1.0119
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.38055,1.81,2.22,2.4256
my2,-0.13898,24.74,0.136,32.9494
fv2,6.126811,0.72,5.53,1.0416
fs2,6.440346,1.53,8.26,1.6916
off2 ,1.56391,32.08,1.37,44.5933
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.1241,8.34,0.127,8.9567
Ixy3,0.002022,273.82,0.000639,990.9884
Ixz3,0.011217,56.79,-0.00372,186.9976
Iyz3,0.017072,22.63,0.00599,68.6018
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.069824,10.77,0.107,8.1704
mx3,0.159593,13.38,0.0786,31.9877
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.576236,2.05,-0.601,2.1079
Ia3,0.126185,4.96,0.0988,7.2114
fv3,2.323738,1.35,1.97,1.6612
fs3,4.876366,1.99,6.34,1.7063
off3,1.224201,15.16,0.326,63.2178
Ixx4 - 1.0*Iyy4 + 1.0*Iyy5,-0.001304,379.43,0.00464,103.6509
Ixy4,-0.00806,28.3,-0.00687,30.0017
Ixz4,0.002519,101.83,-0.00178,132.0915
Iyz4,-0.009262,31.32,-0.00599,39.5343
Izz4 + 1.0*Iyy5,-0.006562,51.11,0.00116,216.3227
mx4,-0.015478,38.58,-0.0219,23.3969
my4 + 1.0*mz5,-0.000988,774.79,-0.00726,77.0029
Ia4,0.032286,11.38,0.0313,7.1472
fv4,1.324322,2.18,1.11,1.4061
fs4,1.546136,6.19,2.48,2.2869
off4,-0.141695,41.31,-0.102,28.1788
Ixx5 - 1.0*Iyy5 + 1.0*Iyy6,0.013287,25.85,0.00293,76.8254
Ixy5,-0.007842,19.59,0.00055,203.3751
Ixz5,0.003238,50.46,0.000998,117.127
Iyz5,0.006432,24.09,0.000716,163.805
Izz5 + 1.0*Iyy6,0.006635,39.11,0.00109,217.0015
mx5,0.026092,18.67,-0.00153,307.6661
my5 - 1.0*mz6,-0.025315,18.28,-0.0309,12.5921
Ia5,0.039661,10.78,0.0468,7.8959
fv5,2.3055,1.67,1.86,1.8268
fs5,1.900841,4.79,3.03,2.9482
off5,-0.293968,22.95,-0.0288,194.4682
Ixx6 - 1.0*Iyy6,-0.004215,33.48,-0.00136,71.0549
Ixy6,0.001673,43.91,-2E-06,31015.493
Ixz6,-0.002099,44.99,0.00226,29.4666
Iyz6,-0.00822,10.46,0.000896,68.8983
Izz6,0.001242,99.08,0.00185,45.0712
mx6,0.024498,12.08,-0.00316,83.3765
my6,-0.000423,720.73,-0.00498,51.0892
Ia6,0.008558,24.86,0.0105,11.8534
fv6,0.602153,3.22,0.65,1.5859
fs6,2.301928,4.68,0.282,28.7752
off6,0.263465,23.26,0.127,24.669
Iam6,0.012909,12.86,0.00964,12.9987
fvm6,1.185582,1.29,0.616,1.6093
fsm6,0.077616,98.8,1.95,3.4705
