Essential parameters,WLS,sxr,,Gautier,sxr
Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.277849,0.47,zz1R,1.28,0.4896
fv1,8.008846,0.64,fv1 ,7.99,0.6703
fs1,7.285454,2.04,fs1 ,7.36,2.1196
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.489009,1.85,xx2R,-0.494,1.9049
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.16116,3.53,xz2R,-0.16,3.6441
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.07318,0.54,zz2R,1.08,0.551
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.170943,0.5,mx2R,2.17,0.5002
fv2,5.468985,1.04,fv2 ,5.49,1.0548
fs2,8.334701,1.66,fs2 ,8.33,1.6905
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.094141,9.43,xx3R,0.0947,9.9899
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.12724,3.86,zz3R,0.13,4.0583
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.594794,1.46,my3R,-0.589,1.5744
Ia3,0.08152,4.25,ia3 ,0.0801,4.8181
fv3,1.971455,1.49,fv3 ,1.96,1.6853
fs3,6.365968,1.54,fs3 ,6.39,1.7226
,,,mx4 ,-0.0171,17.9481
Ia4,0.033322,3.68,ia4 ,0.0342,3.8876
fv4,1.096401,1.28,fv4 ,1.11,1.3577
fs4,2.561382,2.04,fs4 ,2.49,2.2579
my5 - 1.0*mz6,-0.034525,8.65,my5R,-0.0376,8.5083
Ia5,0.047604,6.3,ia5 ,0.0481,6.2361
fv5,1.813056,1.93,fv5 ,1.86,1.8131
fs5,3.142528,3.01,fs5 ,3.01,2.935
Ia6,0.012478,7.11,ia6 ,0.0123,7.8523
fv6,0.661815,1.32,fv6 ,0.673,1.3763
Iam6,0.010701,10.86,iam6,0.011,11.0197
fvm6,0.60274,1.46,fvm6,0.609,1.5182
fsm6,2.156623,2,fsm6,2.09,2.1212
