Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
-0.0029698,-0.76036,0.0019974,0.0042945,-0.0036467,0.016623
-0.0029698,-0.84434,0.0019862,0.0042945,-0.0036425,0.016623
-0.0029698,-0.79946,0.0019749,0.0042945,-0.0036386,0.016623
-0.0029698,-0.80021,0.0019637,0.0042945,-0.0036349,0.016623
-0.0029698,-0.80095,0.0019524,0.0042945,-0.0036316,0.016623
-0.0029698,-0.80162,0.0019412,0.0042945,-0.0036287,0.016623
-0.0029698,-0.76258,0.0019299,0.0042945,-0.003626,0.016624
-0.0029698,-0.84632,0.0019186,0.0042945,-0.0036236,0.016624
-0.0029698,-0.80108,0.0019073,0.0042945,-0.0036215,0.016625
-0.0029698,-0.76183,0.001896,0.0042945,-0.0036196,0.016625
-0.0029698,-0.84546,0.0018846,0.0042945,-0.003618,0.016626
-0.0029698,-0.80021,0.0018733,0.0042945,-0.0036166,0.016626
-0.0029698,-0.80062,0.0018619,0.0042945,-0.0036154,0.016627
-0.0029698,-0.76147,0.0018506,0.0042945,-0.0036144,0.016627
-0.0029698,-0.84522,0.0018392,0.0042945,-0.0036136,0.016628
-0.0029698,-0.80009,0.0018278,0.0042945,-0.003613,0.016629
-0.0029698,-0.80059,0.0018164,0.0042945,-0.0036125,0.01663
-0.0029698,-0.80109,0.001805,0.0042945,-0.0077701,0.016631
-0.0029698,-0.80157,0.0017936,0.0042945,0.00062453,0.01895
-0.0029698,-0.80198,0.0017822,0.0042945,-0.0077936,0.014416
-0.0029698,-0.8023,0.0017708,0.0042945,0.00060268,0.016635
-0.0029698,-0.80253,0.0017593,0.0042945,-0.0036558,0.016637
-0.0029698,-0.76309,0.0017479,0.0042945,-0.0036522,0.016638
-0.0029698,-0.8465,0.0017365,0.0042945,-0.0036487,0.01664
-0.0029698,-0.76139,0.001725,0.0042945,-0.0036453,0.016642
-0.0029698,-0.84484,0.0017135,0.0042945,-0.003642,0.016643
-0.0029698,-0.75993,0.0017021,0.0042945,-0.0036388,0.016645
-0.0029698,-0.84364,0.0016906,0.0042945,-0.0036358,0.016647
-0.0029698,-0.7986,0.0016792,0.0042945,-0.0036329,0.016649
-0.0029698,-0.79929,0.0016677,0.0042945,-0.0036302,0.016651
-0.0029698,-0.80005,0.0016562,0.0042945,-0.0036277,0.016653
-0.0029698,-0.80081,0.0016448,0.0042945,-0.0036254,0.016655
-0.0029698,-0.80148,0.0016333,0.0042945,-0.0036233,0.016657
-0.0029698,-0.80204,0.0016218,0.0042945,-0.0036213,0.016659
-0.0029698,-0.80244,0.0016103,0.0042945,-0.0077776,0.016661
-0.0029698,-0.80273,0.0015987,0.0042945,0.00061825,0.016663
-0.0029698,-0.80288,0.0015872,0.0042945,-0.0036407,0.016664
-0.0029698,-0.80295,0.0015756,0.0042945,-0.0036379,0.016666
-0.0029698,-0.80292,0.001564,0.0042945,-0.0036352,0.016667
-0.0029698,-0.80284,0.0015524,0.0042945,-0.0036327,0.016669
-0.0029698,-0.80271,0.0015408,0.0042945,-0.0036303,0.01667
-0.0029698,-0.76296,0.0015292,0.0042945,-0.0036282,0.016672
-0.0029698,-0.8461,0.0015175,0.0042945,-0.0036262,0.016674
-0.0029698,-0.80042,0.0015059,0.0042945,-0.0036245,0.016675
-0.0029698,-0.80045,0.0014942,0.0042945,-0.0036229,0.016677
-0.0029698,-0.8006,0.0014825,0.0042945,-0.0036214,0.016679
-0.0029698,-0.80085,0.0014708,0.0042945,-0.0036201,0.016681
-0.0029698,-0.80111,0.0014591,0.0042945,-0.003619,0.016683
-0.0029698,-0.8014,0.0014475,0.0042945,-0.003618,0.016685
-0.0029698,-0.80166,0.0014357,0.0042945,-0.0036172,0.016688
-0.0029698,-0.8019,0.001424,0.0042945,-0.0036164,0.01669
-0.0029698,-0.80209,0.0014123,0.0042945,-0.0036158,0.016692
-0.0029698,-0.80222,0.0014006,0.0042945,-0.0036153,0.016694
-0.0029698,-0.8023,0.0013889,0.0042945,-0.0077729,0.016695
-0.0029698,-0.80233,0.0013771,0.0042945,0.00062171,0.016697
-0.0029698,-0.76274,0.0013654,0.0042945,-0.0036384,0.016698
-0.0029698,-0.84605,0.0013536,0.0042945,-0.0036364,0.0167
-0.0029698,-0.76092,0.0013419,0.0042945,-0.0036345,0.016701
-0.0029698,-0.84437,0.0013301,0.0042945,-0.0036327,0.016702
-0.0029698,-0.79904,0.0013184,0.0042945,-0.0036309,0.016703
-0.0029698,-0.79946,0.011396,0.0042945,-0.0036293,0.016704
-0.0029698,-0.8,-0.0082454,0.0042945,-0.0036277,0.016705
-0.0029698,-0.80058,0.0012933,0.0042945,-0.0036262,0.016707
-0.0029698,-0.80112,0.0012814,0.0042945,-0.0036249,0.016708
-0.0029698,-0.76202,0.0012695,0.0042945,-0.0036237,0.016709
-0.0029698,-0.84576,0.0012575,0.0042945,-0.0036225,0.01671
-0.0029698,-0.80054,0.0012455,0.0042945,-0.0036215,0.016711
-0.0029698,-0.7613,0.011323,0.0042945,-0.0036205,0.016712
-0.0029698,-0.84498,-0.0083187,0.0042945,-0.0036197,0.016713
-0.0029698,-0.7998,0.0012197,0.0042945,-0.003619,0.016715
-0.0029698,-0.80026,0.0012075,0.0042945,-0.0036183,0.016717
-0.0029698,-0.76116,0.0011953,0.0042945,-0.0036177,0.016718
-0.0029698,-0.80538,0.001183,0.0042945,-0.0036172,0.01672
-0.0029698,-0.80402,0.0011707,0.0042945,-0.0036168,0.016721
-0.0029698,-0.84235,0.0011585,0.0042945,-0.0036164,0.016723
-0.0029698,-0.75794,0.0011462,0.0042945,-0.0036161,0.016724
-0.0029698,-0.8026,0.0011339,0.0042945,-0.0036159,0.016725
-0.0029698,-0.8414,0.0011216,0.0042945,-0.0036157,0.016726
-0.0029698,-0.797,0.0011093,0.0042945,-0.0036156,0.016728
-0.0029698,-0.79828,0.001097,0.0042945,-0.0036154,0.016729
-0.0029698,-0.75997,0.0010848,0.0042945,-0.0036154,0.01673
-0.0029698,-0.80486,0.0010725,0.0042945,-0.0036153,0.016731
-0.0029698,-0.84364,0.0010602,0.0042945,-0.0036153,0.016732
-0.0029698,-0.79905,0.001048,0.0042945,-0.0036153,0.016734
-0.0029698,-0.76044,0.0010357,0.0042945,-0.0036154,0.016735
-0.0029698,-0.80505,0.0010234,0.0042945,-0.0036154,0.016736
-0.0029698,-0.80401,0.0010112,0.0042945,-0.0036155,0.016738
-0.0029698,-0.84256,0.00099894,0.0042945,-0.0036155,0.016739
-0.0029698,-0.75829,0.0009867,0.0042945,-0.0036156,0.01674
-0.0029698,-0.80302,0.011064,0.0042945,-0.0036157,0.016741
-0.0029698,-0.80223,-0.008578,0.0042945,-0.0077738,0.016743
-0.0029698,-0.80151,0.0009602,0.0042945,0.00062048,0.016744
-0.0029698,-0.84052,0.0009478,0.0042945,-0.0036399,0.016745
-0.0029698,-0.75679,0.0009354,0.0042945,-0.0036382,0.016746
-0.0029698,-0.80205,0.00092302,0.0042945,-0.0036366,0.016748
-0.0029698,-0.80173,0.00091066,0.0042945,-0.003635,0.016749
-0.0029698,-0.80142,0.010987,0.0042945,-0.0036335,0.01675
-0.0029698,-0.80116,-0.0086543,0.0042945,-0.0036321,0.016751
-0.0029698,-0.80095,0.00088384,0.0042945,-0.0036308,0.016752
