Thanh results using mdh frames,,prof Gautier results,
Iyy2 + 1.0*Iyy3 + 1.0*Izz1 + 0.05185*m4 + 0.05185*m5 + 0.07*mz3 + 0.05185*m6 + 0.05185*m3 + 1.0*Ia1,1.085882,zz1R = zz1  + ia1  + yy2  + yy3  + 0.07*mz3  + 0.05185*m3   + 0.05185*m4   + 0.05185*m5   + 0.05185*m6  ,1.24
fv1,8.185702,fv1 ,8.05
fs1,6.672461,fs1 ,7.14
off1,0.123718,off1,0.392
Ixx2 + 1.0*Iyy3 + 1.0*Izz1 + 0.001225*m4 + 0.001225*m5 + 0.07*mz3 + 0.001225*m6 + 0.001225*m3 + 1.0*Ia1,0.703929,xx2R = xx2  - yy2  - 0.050625*m3   - 0.050625*m4   - 0.050625*m5   - 0.050625*m6  ,-0.466
Ixy2,-0.043879,xy2 ,0.00358
Ixz2 - 0.007875*m4 - 0.007875*m5 - 0.225*mz3 - 0.007875*m6 - 0.007875*m3,-0.155651,xz2R = xz2  - 0.225*mz3  - 0.007875*m3   - 0.007875*m4   - 0.007875*m5   - 0.007875*m6  ,-0.16
Iyz2,0.019715,yz2 ,0.00331
Izz2 + 1.0*Ia2 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6 + 0.050625*m3,0.908992,zz2R = zz2  + ia2  + 0.050625*m3   + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  ,1.08
mx2 + 0.225*m4 + 0.225*m5 + 0.225*m6 + 0.225*m3,2.243636,mx2R = mx2  + 0.225*m3   + 0.225*m4   + 0.225*m5   + 0.225*m6  ,2.22
my2,-0.321953,my2 ,0.136
fv2,5.534202,fv2 ,5.53
fs2,8.692592,fs2 ,8.26
off2,1.404482,off2,1.37
Iyy4 - 1.0*Iyy3 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.157732,xx3R = xx3  - yy3  + yy4  + 0.45*mz4  + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  ,0.127
Ixy3,-0.014522,xy3 ,0.000639
Ixz3,0.045151,xz3 ,-0.00372
Iyz3,0.008147,yz3 ,0.00599
Izz3 + 1.0*Iyy3 - 1.0*Ixx3,-0.129141,zz3R = zz3  + yy4  + 0.45*mz4  + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  ,0.107
mx3,0.305658,mx3 ,0.0786
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.590153,my3R = my3  - mz4  - 0.225*m4   - 0.225*m5   - 0.225*m6  ,-0.601
Ia3,0.167944,ia3 ,0.0988
fv3,1.84126,fv3 ,1.97
fs3,6.740327,fs3 ,6.34
off3,2.514389,off3,0.326
Iyy5 - 1.0*Iyy3 + 1.0*Ixx4 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.136746,xx4R = xx4  - yy4  + yy5 ,0.00464
Ixy4,-0.022524,xy4 ,-0.00687
Ixz4,-0.018829,xz4 ,-0.00178
Iyz4,0.001874,yz4 ,-0.00599
Izz4 + 1.0*Iyy3 - 1.0*Ixx4 - 0.45*mz4 - 1.0*Ixx3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.133064,zz4R = zz4  + yy5 ,0.00116
mx4,-0.040031,mx4 ,-0.0219
mz5 + 1.0*my4,0.024599,my4R = my4  + mz5 ,-0.00726
Ia4,0.032592,ia4 ,0.0313
fv4,1.091296,fv4 ,1.11
fs4,2.494557,fs4 ,2.48
off4,-0.205319,off4,-0.102
Ixx5 - 1.0*Izz5 - 1.0*Iyy3 + 1.0*Ixx4 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.13741,xx5R = xx5  - yy5  + yy6 ,0.00293
Ixy5,-0.004015,xy5 ,0.00055
Ixz5,0.010375,xz5 ,0.000998
Iyz5,0.004273,yz5 ,0.000716
Iyy6 + 1.0*Izz5,0.001392,zz5R = zz5  + yy6 ,0.00109
mx5,0.036427,mx5 ,-0.00153
my5 - 1.0*mz6,-0.027811,my5R = my5  - mz6 ,-0.0309
Ia5,0.049958,ia5 ,0.0468
fv5,2.171241,fv5 ,1.86
fs5,2.855031,fs5 ,3.03
off5,-0.282548,off5,-0.0288
Ixx6 + 1.0*Izz5,-0.008467,xx6R = xx6  - yy6 ,-0.00136
Ixy6,-0.000226,xy6 ,-2E-06
Ixz6,-0.003964,xz6 ,0.00226
Iyz6,-0.004951,yz6 ,0.000896
Izz6,0.008449,zz6 ,0.00185
mx6,0.020196,mx6 ,-0.00316
my6,0.002277,my6 ,-0.00498
Ia6,-0.006224,ia6 ,0.0105
fv6,0.563734,fv6 ,0.65
fs6,3.422291,fs6 ,0.282
off6,0.087737,off6,0.127
Iam6,0.02197,iam6,0.00964
fvm6,1.270854,fvm6,0.616
fsm6,-0.599682,fsm6,1.95
